Trained,Tested,Model,Accuracy,Precision,Recall,F1,C-Accuracy,C-Precision,C-Recall,C-F1,F-Accuracy,F-Precision,F-Recall,F-F1,T-Accuracy,T-Precision,T-Recall,T-F1,,,,,,,,,,
Fusar,Fusar-ship,CNN,65.4,58.85,65.4,58.39,91.78,100,91.78,95.72,10.92,100,10.92,19.69,14.07,100,14.07,24.67,,,,,,,,,,
Fusar,Opensarship,CNN,59.83,59.46,59.83,58.06,79.57,100,79.57,88.62,9.82,100,9.82,17.89,6.3,100,6.3,11.86,,,Before Domain,After Domain,,,,,,
Fusar,Mix,CNN,60.09,55.88,60.09,56.56,81.25,100,81.25,89.66,9.19,100,9.19,16.83,7,100,7,13.09,,CNN,52.231,53.62,,,,,,
Fusar+OpenSar,Fusar-ship,CNN,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,VGG,58.22,58.22,,,,,,
Fusar+OpenSar,Opensarship,CNN,69.01,53.3,69.01,60.14,94.46,100,94.46,97.15,4.46,100,4.46,8.55,0,0,0,0,,Fine-VGG,54.296,52.51,,,,,,
Fusar+OpenSar,Mix,CNN,68.06,50.73,68.06,58.09,95.41,100,95.41,97.65,1.08,100,1.08,2.14,0,0,0,0,,Resnet,58.69,58.22,,,,,,
Fusar+Mix,Fusar-ship,CNN,67.06,57.51,67.06,53.91,99.94,100,99.94,99.97,0.16,100,0.16,0.32,0,0,0,0,,Fine-Resnet,59.67,45.39,,,,,,
Fusar+Mix,Opensarship,CNN,52.69,52.93,52.69,52.57,71.41,100,71.41,83.32,30.36,100,30.36,46.58,0,0,0,0,,,,,,,,,,
Fusar+Mix,Mix,CNN,58.5,50.99,58.5,54.46,81.46,100,81.46,89.78,5.41,100,5.41,10.26,0,0,0,0,,,,,,,,,,
Fusar,Fusar-ship,VGG,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,Fusar,Fusar+opensar,Fusar+mix,,,Fusar,Fusar+opensar,Fusar+mix
Fusar,Opensarship,VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,CNN-F,58.39,53.84,53.91,,CNN,57.67,57.36,53.65
Fusar,Mix,VGG,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,CNN-O,58.06,60.14,52.57,,VGG,58.22,58.22,58.22
Fusar+OpenSar,Fusar-ship,VGG,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,CNN-M,56.56,58.09,54.46,,F-VGG,62.3,62.18,24.43
Fusar+OpenSar,Opensarship,VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,VGG-F,53.84,53.84,53.84,,Resnet,59.64,58.24,58.22
Fusar+OpenSar,Mix,VGG,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,VGG-O,61.56,61.56,61.56,,F-Resnet,59.47,58.48,58.26
Fusar+Mix,Fusar-ship,VGG,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,VGG-M,59.26,59.26,59.26,,,,,
Fusar+Mix,Opensarship,VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,F-VGG-F,66.16,66.12,46.65,,,,,
Fusar+Mix,Mix,VGG,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,F-VGG-O,60.81,60.09,8.21,,,,,
Fusar,Fusar-ship,Fine-VGG,69.56,66.3,69.56,66.16,87.06,100,87.06,93.08,21.52,100,21.52,35.42,73.37,100,73.37,84.64,,F-VGG-M,59.92,60.34,18.43,,,,,
Fusar,Opensarship,Fine-VGG,63.8,58.99,63.8,60.81,82.72,100,82.72,90.55,6.25,100,6.25,11.76,13.22,100,13.22,23.35,,Resnet-F,57.01,53.92,53.84,,,,,
Fusar,Mix,Fine-VGG,63.54,57.8,63.54,59.92,83.55,100,83.55,91.04,12.97,100,12.97,22.97,14.49,100,14.49,25.32,,Resnet-O,61.56,61.56,61.56,,,,,
Fusar+OpenSar,Fusar-ship,Fine-VGG,69.56,66.1,69.56,66.12,87.53,100,87.53,93.35,21.36,100,21.36,35.2,69.85,100,69.85,82.25,,Resnet-M,60.36,59.25,59.26,,,,,
Fusar+OpenSar,Opensarship,Fine-VGG,63.2,58.04,63.2,60.09,82.37,100,82.37,90.33,7.14,100,7.14,13.33,11.78,100,11.78,21.08,,F-Resnet-F,57.06,54.3,53.84,,,,,
Fusar+OpenSar,Mix,Fine-VGG,64.12,58.24,64.12,60.34,84.22,100,84.22,91.43,10.27,100,10.27,18.63,16.18,100,16.18,27.86,,F-Resnet-O,61.8,61.64,61.68,,,,,
Fusar+Mix,Fusar-ship,Fine-VGG,45.94,58.64,45.94,46.65,36.52,100,36.52,53.51,58.86,100,58.86,74.1,84.92,100,84.92,91.85,,F-Resnet-M,59.54,59.49,59.27,,,,,
Fusar+Mix,Opensarship,Fine-VGG,12.04,52.99,12.04,8.21,0.52,100,0.52,1.03,69.64,100,69.64,82.11,41.1,100,41.1,58.25,,,,,,,,,,
Fusar+Mix,Mix,Fine-VGG,20.61,54.09,20.61,18.43,8.16,100,8.16,15.09,63.24,100,63.24,77.48,46.14,100,46.14,63.14,,,,,,,,,,
Fusar,Fusar-ship,Resnet,66.71,49.8,66.71,57.01,93.14,100,93.14,96.45,0,0,0,0,53.77,100,53.77,69.93,,,,,,,,,,
Fusar,Opensarship,Resnet,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Fusar,Mix,Resnet,70.89,58.42,70.89,60.36,98.52,100,98.52,99.25,0,0,0,0,3.62,100,3.62,6.99,,,,,,,,,,
